Tamaño del Texto;Tiempo Precomputación (microsegundos);Tiempo Contar Patrón (microsegundos);Tiempo Total (microsegundos);Varianza Precomputación (microsegundos);Variaza  Contar Patrón (microsegundos);Varianza Total (microsegundos)
10000;1;237;238;4;15;14
20000;1;430;431;3;54;53
30000;1;549;550;5;122;138
40000;1;732;733;5;199;189
50000;1;899;901;3;307;299
60000;1;1084;1086;5;351;356
70000;1;1286;1288;4;414;429
80000;1;1480;1481;3;712;703
90000;1;1669;1671;5;736;716
100000;1;1868;1870;3;725;723
110000;1;2074;2075;3;720;693
120000;2;2296;2297;7;1110;1072
130000;1;2477;2479;5;1292;1249
140000;1;2652;2654;5;1033;1035
150000;2;2817;2818;3;1040;1018
160000;2;2993;2994;5;1355;1374
170000;1;3156;3158;4;1852;1843
180000;2;3322;3323;5;1581;1519
190000;2;3489;3490;6;1113;1130
200000;2;3670;3671;3;988;989
